,Origin,Destination,COO_COD,dcode,ocode,COO_total,Pct
<<<<<<< HEAD
0,Afghanistan,Pakistan,1392610,PAK,AFG,2624225,0.5306747706465719
1,Afghanistan,Iran (Islamic Rep. of),951142,IRN,AFG,2624225,0.36244681763187225
2,Afghanistan,Germany,104385,DEU,AFG,2624225,0.03977745810667911
3,Afghanistan,Austria,26939,AUT,AFG,2624225,0.010265506959197477
4,Afghanistan,Sweden,25645,SWE,AFG,2624225,0.009772408996941954
5,Afghanistan,Italy,17171,ITA,AFG,2624225,0.006543265154474178
6,Afghanistan,France,13425,FRA,AFG,2624225,0.005115796092179596
7,Afghanistan,Australia,10922,AUS,AFG,2624225,0.004161990682963542
8,Afghanistan,United Kingdom,9858,GBR,AFG,2624225,0.003756537644447408
9,Afghanistan,Switzerland,8151,CHE,AFG,2624225,0.003106059884346807
10,Afghanistan,India,7758,IND,AFG,2624225,0.0029563013842181978
11,Afghanistan,Norway,6490,NOR,AFG,2624225,0.0024731111089940838
12,Afghanistan,Netherlands,6205,NLD,AFG,2624225,0.002364507616534405
13,Afghanistan,Turkey,5603,TUR,AFG,2624225,0.0021351065552686985
14,Afghanistan,Indonesia,5477,IDN,AFG,2624225,0.0020870923796549455
15,Afghanistan,Greece,4751,GRC,AFG,2624225,0.001810439272547133
16,Afghanistan,Canada,3356,CAN,AFG,2624225,0.001278853756823443
17,Afghanistan,Belgium,3201,BEL,AFG,2624225,0.001219788699520811
18,Afghanistan,Denmark,2668,DNK,AFG,2624225,0.0010166811153769209
19,Afghanistan,Finland,2571,FIN,AFG,2624225,0.0009797178214520478
20,Afghanistan,Tajikistan,2516,TJK,AFG,2624225,0.0009587592527317589
21,Afghanistan,Serbia and Kosovo (S/RES/1244 (1999)),2182,SRB,AFG,2624225,0.000831483580866732
22,Afghanistan,United States of America,1564,USA,AFG,2624225,0.0005959854814278501
23,Afghanistan,Hungary,1412,HUN,AFG,2624225,0.0005380636187826883
24,Afghanistan,Ukraine,1410,UKR,AFG,2624225,0.0005373014890110413
25,Afghanistan,Syrian Arab Rep.,1221,SYR,AFG,2624225,0.0004652802255904124
26,Afghanistan,Russian Federation,661,RUS,AFG,2624225,0.0002518838895292896
27,Afghanistan,Azerbaijan,587,AZE,AFG,2624225,0.00022368508797835553
28,Afghanistan,Kazakhstan,561,KAZ,AFG,2624225,0.00021377740094694625
29,Afghanistan,Malaysia,389,MYS,AFG,2624225,0.00014823424058531566
30,Afghanistan,Spain,287,ESP,AFG,2624225,0.00010936562223132545
31,Afghanistan,Slovakia,246,SVK,AFG,2624225,9.374196191256467e-05
32,Afghanistan,Kyrgyzstan,236,KGZ,AFG,2624225,8.993131305433033e-05
33,Afghanistan,Czech Rep.,234,CZE,AFG,2624225,8.916918328268346e-05
