,Year,Destination,Origin,Type,Value,dcode,ocode
2631,2017,Australia,Kuwait,Refugees (incl. refugee-like situations),54,AUS,KWT
2632,2017,Australia,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),0,AUS,LAO
2633,2017,Australia,Lebanon,Refugees (incl. refugee-like situations),548,AUS,LBN
2634,2017,Australia,Liberia,Refugees (incl. refugee-like situations),37,AUS,LBR
2635,2017,Australia,Libya,Refugees (incl. refugee-like situations),992,AUS,LBY
2636,2017,Australia,Sri Lanka,Refugees (incl. refugee-like situations),4489,AUS,LKA
2637,2017,Australia,Lithuania,Refugees (incl. refugee-like situations),0,AUS,LTU
2638,2017,Australia,Latvia,Refugees (incl. refugee-like situations),0,AUS,LVA
2639,2017,Australia,Morocco,Refugees (incl. refugee-like situations),12,AUS,MAR
2640,2017,Australia,Rep. of Moldova,Refugees (incl. refugee-like situations),0,AUS,MDA
2641,2017,Australia,Madagascar,Refugees (incl. refugee-like situations),0,AUS,MDG
2642,2017,Australia,Maldives,Refugees (incl. refugee-like situations),10,AUS,MDV
2643,2017,Australia,Mexico,Refugees (incl. refugee-like situations),10,AUS,MEX
2644,2017,Australia,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),0,AUS,MKD
2645,2017,Australia,Mali,Refugees (incl. refugee-like situations),0,AUS,MLI
2646,2017,Australia,Myanmar,Refugees (incl. refugee-like situations),516,AUS,MMR
2647,2017,Australia,Mongolia,Refugees (incl. refugee-like situations),27,AUS,MNG
2648,2017,Australia,Mozambique,Refugees (incl. refugee-like situations),0,AUS,MOZ
2649,2017,Australia,Mauritania,Refugees (incl. refugee-like situations),0,AUS,MRT
2650,2017,Australia,Mauritius,Refugees (incl. refugee-like situations),7,AUS,MUS
2651,2017,Australia,Malawi,Refugees (incl. refugee-like situations),0,AUS,MWI
2652,2017,Australia,Malaysia,Refugees (incl. refugee-like situations),240,AUS,MYS
2653,2017,Australia,Niger,Refugees (incl. refugee-like situations),0,AUS,NER
2654,2017,Australia,Nigeria,Refugees (incl. refugee-like situations),187,AUS,NGA
2655,2017,Australia,Nicaragua,Refugees (incl. refugee-like situations),0,AUS,NIC
2656,2017,Australia,Netherlands,Refugees (incl. refugee-like situations),0,AUS,NLD
2657,2017,Australia,Norway,Refugees (incl. refugee-like situations),0,AUS,NOR
2658,2017,Australia,Nepal,Refugees (incl. refugee-like situations),182,AUS,NPL
2659,2017,Australia,New Zealand,Refugees (incl. refugee-like situations),26,AUS,NZL
2660,2017,Australia,Oman,Refugees (incl. refugee-like situations),0,AUS,OMN
2661,2017,Australia,Pakistan,Refugees (incl. refugee-like situations),4496,AUS,PAK
2662,2017,Australia,Peru,Refugees (incl. refugee-like situations),9,AUS,PER
2663,2017,Australia,Philippines,Refugees (incl. refugee-like situations),51,AUS,PHL
2664,2017,Australia,Papua New Guinea,Refugees (incl. refugee-like situations),396,AUS,PNG
2665,2017,Australia,Poland,Refugees (incl. refugee-like situations),0,AUS,POL
2666,2017,Australia,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),19,AUS,PRK
2667,2017,Australia,Portugal,Refugees (incl. refugee-like situations),0,AUS,PRT
2668,2017,Australia,Palestinian,Refugees (incl. refugee-like situations),378,AUS,PSE
2669,2017,Australia,Qatar,Refugees (incl. refugee-like situations),0,AUS,QAT
2670,2017,Australia,Romania,Refugees (incl. refugee-like situations),9,AUS,ROU
2671,2017,Australia,Russian Federation,Refugees (incl. refugee-like situations),55,AUS,RUS
2672,2017,Australia,Rwanda,Refugees (incl. refugee-like situations),64,AUS,RWA
2673,2017,Australia,Saudi Arabia,Refugees (incl. refugee-like situations),94,AUS,SAU
2674,2017,Australia,Sudan,Refugees (incl. refugee-like situations),239,AUS,SDN
2675,2017,Australia,Senegal,Refugees (incl. refugee-like situations),0,AUS,SEN
2676,2017,Australia,Singapore,Refugees (incl. refugee-like situations),6,AUS,SGP
2677,2017,Australia,Solomon Islands,Refugees (incl. refugee-like situations),21,AUS,SLB
2678,2017,Australia,Sierra Leone,Refugees (incl. refugee-like situations),29,AUS,SLE
2679,2017,Australia,El Salvador,Refugees (incl. refugee-like situations),10,AUS,SLV
2680,2017,Australia,Somalia,Refugees (incl. refugee-like situations),139,AUS,SOM
2681,2017,Australia,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),0,AUS,SRB
2682,2017,Australia,South Sudan,Refugees (incl. refugee-like situations),7,AUS,SSD
2683,2017,Australia,Slovakia,Refugees (incl. refugee-like situations),0,AUS,SVK
2684,2017,Australia,Sweden,Refugees (incl. refugee-like situations),0,AUS,SWE
2685,2017,Australia,Seychelles,Refugees (incl. refugee-like situations),0,AUS,SYC
2686,2017,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),477,AUS,SYR
2687,2017,Australia,Chad,Refugees (incl. refugee-like situations),0,AUS,TCD
2688,2017,Australia,Togo,Refugees (incl. refugee-like situations),0,AUS,TGO
2689,2017,Australia,Thailand,Refugees (incl. refugee-like situations),15,AUS,THA
2690,2017,Australia,Tibetan,Refugees (incl. refugee-like situations),17,AUS,TAR
2691,2017,Australia,Tajikistan,Refugees (incl. refugee-like situations),0,AUS,TJK
2692,2017,Australia,Turkmenistan,Refugees (incl. refugee-like situations),0,AUS,TKM
2693,2017,Australia,Timor-Leste,Refugees (incl. refugee-like situations),8,AUS,TLS
2694,2017,Australia,Tonga,Refugees (incl. refugee-like situations),34,AUS,TON
2695,2017,Australia,Tunisia,Refugees (incl. refugee-like situations),5,AUS,TUN
2696,2017,Australia,Turkey,Refugees (incl. refugee-like situations),476,AUS,TUR
2697,2017,Australia,United Rep. of Tanzania,Refugees (incl. refugee-like situations),14,AUS,TZA
2698,2017,Australia,Uganda,Refugees (incl. refugee-like situations),65,AUS,UGA
2699,2017,Australia,Ukraine,Refugees (incl. refugee-like situations),18,AUS,UKR
2700,2017,Australia,Uruguay,Refugees (incl. refugee-like situations),0,AUS,URY
2701,2017,Australia,United States of America,Refugees (incl. refugee-like situations),20,AUS,USA
2702,2017,Australia,Uzbekistan,Refugees (incl. refugee-like situations),29,AUS,UZB
2703,2017,Australia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),26,AUS,VEN
2704,2017,Australia,Viet Nam,Refugees (incl. refugee-like situations),200,AUS,VNM
2705,2017,Australia,Vanuatu,Refugees (incl. refugee-like situations),0,AUS,VUT
2706,2017,Australia,Samoa,Refugees (incl. refugee-like situations),0,AUS,WSM
2707,2017,Australia,Stateless,Refugees (incl. refugee-like situations),2609,AUS,SLS
2708,2017,Australia,Various/Unknown,Refugees (incl. refugee-like situations),47,AUS,UNK
2709,2017,Australia,Yemen,Refugees (incl. refugee-like situations),27,AUS,YEM
2710,2017,Australia,South Africa,Refugees (incl. refugee-like situations),36,AUS,ZAF
2711,2017,Australia,Zambia,Refugees (incl. refugee-like situations),10,AUS,ZMB
2712,2017,Australia,Zimbabwe,Refugees (incl. refugee-like situations),986,AUS,ZWE
4475,2017,Austria,Afghanistan,Refugees (incl. refugee-like situations),26939,AUT,AFG
4476,2017,Austria,Angola,Refugees (incl. refugee-like situations),82,AUT,AGO
4477,2017,Austria,Albania,Refugees (incl. refugee-like situations),88,AUT,ALB
4478,2017,Austria,United Arab Emirates,Refugees (incl. refugee-like situations),0,AUT,ARE
4479,2017,Austria,Armenia,Refugees (incl. refugee-like situations),692,AUT,ARM
4480,2017,Austria,Australia,Refugees (incl. refugee-like situations),0,AUT,AUS
